ID,Origins,Destinations,Total Combos,Needed Routes,Total Results,Wasted Results,Utilization %
1,"LON,TYO","NYC",2,2,980,0,98.0
2,"TYO,SIN","QLA,CHI",4,3,966,28,96.6
3,"TYO,DXB","PAR,LON",4,4,994,0,99.4
4,"PAR,FRA,MXP,DEL","NYC",4,4,994,0,99.4
5,"LON,SYD","WAS,QLA,BOS",6,4,952,84,95.2
6,"PVG,SIN,DOH,DEL,AUH","LON",5,5,952,0,95.2
7,"PAR,TPE,MEL,HKG","CHI,QLA",8,7,994,28,99.4
8,"HAN,LON,TYO","TYO,YTO",6,3,854,308,85.4
9,"SIN,TYO,FRA","PAR,WAS",6,3,994,112,99.4
10,"DXB,SEL,SIN,ADD","NYC,QLA",8,6,994,70,99.4
11,"BLR,BOM,LON,PAR","LON,QMI",8,4,938,350,93.8
12,"PAR,PVG,OSA","WAS,YTO,QLA",9,6,994,140,99.4
13,"BKK,IST,SEL,HKG","PAR,NYC",8,5,994,168,99.4
14,"LON,SEL,TPE","PAR,CHI,YTO",9,4,980,182,98.0
15,"DEL,PVG,TPE,BJS,OSA","PAR,NYC",10,7,994,56,99.4
16,"SEL,BOM,HAN","WAS,PAR,HKG,BKK",12,5,980,364,98.0
17,"BOS,DOH","CVG,NYC,QLA",6,3,994,658,99.4
18,"DOH,HKG,SEA,TPE","YTO,DFW,CVG",12,6,980,420,98.0
19,"TPE,AUH","SEA,BOS,CHI,NYC,WAS,YTO",12,6,994,210,99.4
20,"BLR,CUN,DFW,HAN","PAR,CVG,SIN",12,4,994,546,99.4
21,"DOH,FRA","BOS,QMI,SEA,WAS,ATL,PHL",12,7,994,336,99.4
22,"FRA,HAN,MUC","DTW,SEL,PAR,TPE",12,5,952,308,95.2
23,"RDU,SGN,DEN,DOH","CVG,PAR,IAH",12,4,994,630,99.4
24,"BOM,DOH,AUH","NYC,CHI,YUL,ATL",12,4,994,280,99.4
25,"DXB,HKG,KUL","MCO,YTO,LON",9,4,952,210,95.2
26,"MXP,SIN,ATL,MNL","PAR,SEA,CVG",12,4,980,490,98.0
27,"AUH,CHI,DEL,IST","CLT,CVG,YTO",12,4,924,546,92.4
28,"DXB","BOS,CHI,DFW,IAH,QMI,SEA,WAS,YUL",8,8,560,0,56.0
29,"HAN,HYD","DOH,FOC,IST,KUL,LON,AUH,FRA,ADD",16,9,966,420,96.6
30,"IST","ATL,BOS,CHI,DEN,DFW,DTW,IAH,QLA,QMI,SEA,WAS,YUL",12,12,840,0,84.0
31,"LON","ATL,CUN,CVG,DTW,LAS,MCO,MSP,SEA,SLC,TPA",10,10,700,0,70.0
32,"MSP,NYC,PAR","CVG,ATL,BOS,CUN",12,6,854,434,85.4
33,"PAR","DEN,DFW,DTW,IAH,LAS,MCO,MSP,PHX,RDU,SEA,SLC,YUL",12,12,840,0,84.0
34,"PVG,QLA,QMI,SEL,TPA","DFW,LAS,CVG",15,7,980,518,98.0
35,"SEL,TYO","ATL,BOS,DTW,MSP,SEA,SLC,YUL",14,13,980,70,98.0
36,"SGN,SLC,YTO,BKK,XMN","QLA,CVG",10,5,994,672,99.4
37,"TYO,WAS,LAS","DEN,DFW,IAH,LAS,CVG",15,6,994,588,99.4
38,"BJS,DEL,DTW,ADD","WAS,CHI,CVG",12,4,980,770,98.0
39,"FOC,HAN,MUC","NYC,MEL,PVG,SGN,ATL",15,5,938,658,93.8
40,"HKG,MXP,PHL,PHX","BOS,ATL,CVG",12,5,952,686,95.2
41,"PVG,BJS,CLT","DTW,SEA,QLA,CVG",12,4,938,588,93.8
42,"DEL,HAN,IAH","YUL,BJS,MUC,SYD,CVG,BLR",18,6,966,728,96.6
43,"MCO,TPE,XMN,YUL","CVG,PHX,PAR,IAH",16,5,980,784,98.0
44,"BJS,HAN","YTO,BOM,DEL,DXB,HYD,MNL,MXP,OSA,XMN",18,9,910,658,91.0