ID,Origins,Destinations,Total Combos,Needed Routes,Needed Results,Wasted Results,Utilization %
1,"HAN","ADD,AUH,BJS,BKK,BLR,BOM,DEL,DOH,DXB,FOC,FRA,HKG,HYD,IST,KUL,LON,MEL,MNL,MUC,MXP",20,20,994,0,99.4
2,"BJS,BKK,BLR,BOM,DEL,DXB,FRA,HKG","PAR",8,8,994,0,99.4
3,"LON,MNL,MUC,MXP,OSA,PVG,SEL,SGN,SIN","PAR",9,9,994,0,99.4
4,"DXB","BOS,CHI,DFW,IAH,LON,MCO,QMI,SEA,WAS,YTO",10,10,994,0,99.4
5,"ATL,BOS,CHI,CLT,CUN,DEN,DFW,DTW,IAH,LAS,LON,MCO,MSP,NYC","CVG",14,14,980,0,98.0
6,"BJS,BKK,DOH,DXB,HKG,IST,LON,MEL","QLA",8,8,966,0,96.6
7,"SEL","ATL,BOS,CHI,DFW,DTW,LAS,MSP,SEA,SLC,WAS,YTO",11,11,966,0,96.6
8,"SEL,SIN,TPE,TYO","NYC",4,4,938,0,93.8
9,"DOH","ATL,BOS,CHI,DFW,IAH,LON,PHL,QMI,SEA",9,9,924,0,92.4
10,"PAR","ATL,BOS,CHI,CUN,DEN,DFW,DTW,IAH,LAS,MCO,MSP",11,11,896,0,89.6
11,"PAR","NYC,PHX,QLA,QMI,RDU,SEA,SLC",7,7,882,0,88.2
12,"ADD,AUH,BJS,BOM,DEL,DOH,DXB,FOC","NYC",8,8,882,0,88.2
13,"TYO","ATL,BOS,CHI,DEN,DFW,DTW,IAH,LAS",8,8,882,0,88.2
14,"AUH,BLR,BOM,DEL,HKG,HYD,KUL","LON",7,7,882,0,88.2
15,"LON,MXP,PVG","NYC",3,3,868,0,86.8
16,"LON","ATL,BOS,CUN,DTW,LAS,MCO,MSP,QMI,SEA,SLC,TPA",11,11,854,0,85.4
17,"IST","ATL,BOS,CHI,DEN,DFW,DTW,IAH,QMI,SEA,WAS,YTO,YUL",12,12,840,0,84.0
18,"PAR,PHL,PHX,QLA,QMI,RDU,SEA,SLC,TPA,WAS,YTO,YUL","CVG",12,12,826,0,82.6
19,"OSA,PVG,SEL,SGN,SIN,SYD","QLA",6,6,812,0,81.2
20,"TYO","LON,MSP,SEA,WAS,YTO,YUL",6,6,742,0,74.2
21,"HAN","OSA,PAR,PVG,SEL,SGN,SIN,SYD,TPE,TYO,XMN",10,10,728,0,72.8
22,"TPE,TYO,XMN","QLA",3,3,714,0,71.4
23,"FRA,HKG,IST,MUC","NYC,DTW",8,5,728,238,96.6
24,"LON,PAR","WAS,YTO,YUL",6,5,854,70,92.4
25,"AUH,BJS,DEL,HKG,OSA,PVG,TPE,ADD","YTO,WAS",16,9,644,336,98.0
26,"AUH,HKG","ATL,BOS,CHI,CLT,WAS,DFW",12,8,658,280,93.8
27,"PVG,SIN","LON,DFW,DTW,LAS,SEA",10,7,756,168,92.4
28,"TYO,XMN,SEL,DXB","PAR,YUL",8,4,882,70,95.2
29,"DOH,DEL,MXP","WAS,YTO,YUL,CHI,BOS",15,6,686,308,99.4
30,"TPE","CHI,DFW,IAH,PHX,SEA",5,5,238,0,23.8
31,"FRA,MUC,MXP","ATL",3,3,210,0,21.0